accepted.taxa.name,min_nu.biovol,mn_nu.biovol,mdn_nu.biovol,max_nu.biovol,sd_nu.biovol,n,mn_cells.per.nu,n_sources,w.tsn,level,kingdom,subkingdom,infrakingdom,division,subdivision,phylum,class,subclass,order,family,genus
Acanthoceras,2.820857989,4.023922265,4.113039767,4.181843588,0.209480897,196,NA,1,590865,Genus,Chromista,Chromista,NA,Bacillariophyta,NA,NA,Coscinodiscophyceae,NA,Chaetocerotales,Acanthocerataceae,Acanthoceras
Achnanthes,0.698970004,2.013051105,1.998043086,3.711385379,0.430674229,2146,1,7,3429,Genus,Chromista,Chromista,NA,Bacillariophyta,NA,NA,Bacillariophyceae,NA,Achnanthales,Achnanthaceae,Achnanthes
Achnanthidium,0.720159303,1.647108163,1.694605199,3.033021445,0.356364382,3560,1.01875,5,590864,Genus,Chromista,Chromista,NA,Bacillariophyta,NA,NA,Bacillariophyceae,NA,Achnanthales,Achnanthidiaceae,Achnanthidium
Actinastrum,0.829303773,1.873231568,1.772321707,3.72427587,0.641205939,166,3.937362637,7,6098,Genus,Plantae,Viridaeplantae,Chlorophyta,Chlorophyta,Chlorophytina,NA,Chlorophyceae,NA,Sphaeropleales,Scenedesmaceae,Actinastrum
Actinella,2.488550717,3.404071254,3.397940009,4.350248018,0.537527718,7,NA,2,3417,Genus,Chromista,Chromista,NA,Bacillariophyta,NA,NA,Bacillariophyceae,NA,Eunotiales,Eunotiaceae,Actinella
Actinocyclus,3.065206128,3.683883503,3.724357804,4.262967389,0.214485201,122,1,4,2655,Genus,Chromista,Chromista,NA,Bacillariophyta,NA,NA,Coscinodiscophyceae,NA,Coscinodiscales,Hemidiscaceae,Actinocyclus
Actinoptychus,2.548303411,3.480786733,3.64630173,4.025423846,0.518778493,20,1,2,2618,Genus,Chromista,Chromista,NA,Bacillariophyta,NA,NA,Coscinodiscophyceae,NA,Coscinodiscales,Heliopeltaceae,Actinoptychus
Actinotaenium,3.352568386,3.777994643,3.719828286,4.235124264,0.322974526,5,NA,1,8779,Genus,Plantae,Viridaeplantae,Streptophyta,Charophyta,Conjugophytina,NA,Conjugophyceae,NA,Zygnematales,Desmidiaceae,Actinotaenium
Agmenellum,1.505149978,1.908436278,1.914651886,2.283301229,0.199702049,14,1,1,605,Genus,Monera,NA,NA,NA,NA,Cyanophycota,Cyanophyceae,NA,Chroococcales,Chroococcaceae,Agmenellum
Alexandrium,2.815212362,3.483757232,3.484816414,4.013089717,0.316523768,108,1,1,183929,Genus,Chromista,Chromista,NA,Pyrrophycophyta,NA,NA,Dinophyceae,NA,Gonyaulacales,Goniodomataceae,Alexandrium
Amphicampa,2.505149978,2.515744628,2.515744628,2.526339277,0.014983097,2,1,1,3425,Genus,Chromista,Chromista,NA,Bacillariophyta,NA,NA,Bacillariophyceae,NA,Eunotiales,Eunotiaceae,Amphicampa
Amphidinium,1.728028954,2.5300695,2.662757832,3.400239856,0.39430227,61,1,3,9997,Genus,Chromista,Chromista,NA,Pyrrophycophyta,NA,NA,Dinophyceae,NA,Gymnodiniales,Gymnodiniaceae,Amphidinium
Amphipleura,2.225309282,2.728841791,2.696356389,3.395326393,0.286830719,107,1,2,4575,Genus,Chromista,Chromista,NA,Bacillariophyta,NA,NA,Bacillariophyceae,NA,Naviculales,Amphipleuraceae,Amphipleura
Amphiprora,3.377147734,3.745475776,3.756540899,4.102524603,0.205459367,20,1,1,4674,Genus,Chromista,Chromista,NA,Bacillariophyta,NA,NA,Bacillariophyceae,NA,Naviculales,Naviculaceae,Amphiprora
Amphora,0.653212514,2.026652618,1.975431809,4.503450193,0.54667139,2438,1,7,4705,Genus,Chromista,Chromista,NA,Bacillariophyta,NA,NA,Bacillariophyceae,NA,Thalassiophysales,Catenulaceae,Amphora
Anabaena,0.561101384,2.854271444,3.012171321,4.278690738,0.575830674,4292,11.22409273,7,1100,Genus,Monera,NA,NA,NA,NA,Cyanophycota,Cyanophyceae,NA,Nostocales,Nostocaceae,Anabaena
