"accepted.taxa.name","min_nu.biovol","mn_nu.biovol","mdn_nu.biovol","max_nu.biovol","sd_nu.biovol","n","mn_cells.per.nu","n_sources","w.tsn","level","kingdom","subkingdom","infrakingdom","division","subdivision","phylum","class","subclass","order","family","genus","species"
"Acanthoceras zachariasii",2.8208579894397,4.02392226474653,4.11303976709661,4.18184358794477,0.209480897442807,196,NA,1,591173,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Coscinodiscophyceae",NA,"Chaetocerotales","Acanthocerataceae","Acanthoceras","zachariasii"
"Achnanthes amoena",1.51054501020661,1.74213809630463,1.73158876518674,1.94939000664491,0.129143174345993,19,NA,1,3461,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Achnanthales","Achnanthaceae","Achnanthes","amoena"
"Achnanthes biasolettiana",1.60205999132796,2.13658221367006,2.15228834438306,2.60638136511061,0.236981411117611,275,NA,1,3463,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Achnanthales","Achnanthaceae","Achnanthes","biasolettiana"
"Achnanthes brevipes",2.15836249209525,3.15959089001732,3.35198941250419,3.56110138364906,0.437829482200326,54,NA,1,3430,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Achnanthales","Achnanthaceae","Achnanthes","brevipes"
"Achnanthes chlidanos",2.3541084391474,2.44784384154699,2.44784384154699,2.54157924394658,0.132561877348,2,NA,1,3540,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Achnanthales","Achnanthaceae","Achnanthes","chlidanos"
"Achnanthes coarctata",1.81491318127507,1.81491318127507,1.81491318127507,1.81491318127507,NA,1,NA,1,3469,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Achnanthales","Achnanthaceae","Achnanthes","coarctata"
"Achnanthes conspicua",1.37291200297011,1.68832645713667,1.70156798505593,1.94596070357757,0.137192281534035,71,NA,1,3445,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Achnanthales","Achnanthaceae","Achnanthes","conspicua"
"Achnanthes curvirostrum",3.13830269816628,3.21304067409815,3.19582035174619,3.32221929473392,0.087630793306401,4,NA,1,3441,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Achnanthales","Achnanthaceae","Achnanthes","curvirostrum"
"Achnanthes deflexa",1.41995574848976,1.86781497513258,1.82793402562431,2.34439227368511,0.21994046700967,88,NA,1,3544,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Achnanthales","Achnanthaceae","Achnanthes","deflexa"
"Achnanthes gracillima",2.20139712432045,2.20139712432045,2.20139712432045,2.20139712432045,NA,1,NA,1,591178,"Species","Chromista","Chromista",NA,"Bacillariophyta",NA,NA,"Bacillariophyceae",NA,"Achnanthales","Achnanthaceae","Achnanthes","gracillima"
