"original.taxa.name","accepted.taxa.name","original.genus","w.tsn","tsn","genus.tsn","a.tsn","a.genus.tsn","level","kingdom","subkingdom","infrakingdom","division","subdivision","phylum","class","subclass","order","family","genus","species","variety","form"
"Agmenellum","Agmenellum","Agmenellum",605,605,NA,605,NA,"Genus","Monera",NA,NA,NA,NA,"Cyanophycota","Cyanophyceae",NA,"Chroococcales","Chroococcaceae","Agmenellum",NA,NA,NA
"Agmenellum elegans","Agmenellum elegans","Agmenellum",608,608,NA,608,NA,"Species","Monera",NA,NA,NA,NA,"Cyanophycota","Cyanophyceae",NA,"Chroococcales","Chroococcaceae","Agmenellum","elegans",NA,NA
"Anacystis","Anacystis","Anacystis",609,609,609,609,609,"Genus","Monera",NA,NA,NA,NA,"Cyanophycota","Cyanophyceae",NA,"Chroococcales","Chroococcaceae","Anacystis",NA,NA,NA
"Anacystis limnetica","Anacystis limnetica","Anacystis",609,NA,609,NA,609,"Genus","Monera",NA,NA,NA,NA,"Cyanophycota","Cyanophyceae",NA,"Chroococcales","Chroococcaceae","Anacystis",NA,NA,NA
"Anacystis cyanea","Anacystis cyanea","Anacystis",610,610,609,610,609,"Species","Monera",NA,NA,NA,NA,"Cyanophycota","Cyanophyceae",NA,"Chroococcales","Chroococcaceae","Anacystis","cyanea",NA,NA
"Anacystis incerta","Anacystis incerta","Anacystis",620,620,609,620,609,"Species","Monera",NA,NA,NA,NA,"Cyanophycota","Cyanophyceae",NA,"Chroococcales","Chroococcaceae","Anacystis","incerta",NA,NA
"Aphanocapsa koordersi","Aphanocapsa koordersi","Aphanocapsa",625,NA,625,NA,625,"Genus","Monera",NA,NA,NA,NA,"Cyanophycota","Cyanophyceae",NA,"Chroococcales","Chroococcaceae","Aphanocapsa",NA,NA,NA
"Aphanocapsa","Aphanocapsa","Aphanocapsa",625,625,625,625,625,"Genus","Monera",NA,NA,NA,NA,"Cyanophycota","Cyanophyceae",NA,"Chroococcales","Chroococcaceae","Aphanocapsa",NA,NA,NA
"Aphanocapsa reinboldii","Aphanocapsa reinboldii","Aphanocapsa",625,NA,625,NA,625,"Genus","Monera",NA,NA,NA,NA,"Cyanophycota","Cyanophyceae",NA,"Chroococcales","Chroococcaceae","Aphanocapsa",NA,NA,NA
"Aphanocapsa incerta","Aphanocapsa incerta","Aphanocapsa",625,NA,625,NA,625,"Genus","Monera",NA,NA,NA,NA,"Cyanophycota","Cyanophyceae",NA,"Chroococcales","Chroococcaceae","Aphanocapsa",NA,NA,NA
"Aphanocapsa holsatica","Aphanocapsa holsatica","Aphanocapsa",625,NA,625,NA,625,"Genus","Monera",NA,NA,NA,NA,"Cyanophycota","Cyanophyceae",NA,"Chroococcales","Chroococcaceae","Aphanocapsa",NA,NA,NA
"Aphanocapsa elachista","Aphanocapsa elachista","Aphanocapsa",627,627,625,627,625,"Species","Monera",NA,NA,NA,NA,"Cyanophycota","Cyanophyceae",NA,"Chroococcales","Chroococcaceae","Aphanocapsa","elachista",NA,NA
"Aphanocapsa delicatissima","Aphanocapsa delicatissima","Aphanocapsa",634,634,625,634,625,"Species","Monera",NA,NA,NA,NA,"Cyanophycota","Cyanophyceae",NA,"Chroococcales","Chroococcaceae","Aphanocapsa","delicatissima",NA,NA
"Aphanothece smithii","Aphanothece smithii","Aphanothece",636,NA,636,NA,636,"Genus","Monera",NA,NA,NA,NA,"Cyanophycota","Cyanophyceae",NA,"Chroococcales","Chroococcaceae","Aphanothece",NA,NA,NA
"Aphanothece minutissima","Aphanothece minutissima","Aphanothece",636,NA,636,NA,636,"Genus","Monera",NA,NA,NA,NA,"Cyanophycota","Cyanophyceae",NA,"Chroococcales","Chroococcaceae","Aphanothece",NA,NA,NA
"Aphanothece bachmannii","Aphanothece bachmannii","Aphanothece",636,NA,636,NA,636,"Genus","Monera",NA,NA,NA,NA,"Cyanophycota","Cyanophyceae",NA,"Chroococcales","Chroococcaceae","Aphanothece",NA,NA,NA
"Aphanothece","Aphanothece","Aphanothece",636,636,636,636,636,"Genus","Monera",NA,NA,NA,NA,"Cyanophycota","Cyanophyceae",NA,"Chroococcales","Chroococcaceae","Aphanothece",NA,NA,NA
"Aphanothece saxicola","Aphanothece saxicola","Aphanothece",643,643,636,643,636,"Species","Monera",NA,NA,NA,NA,"Cyanophycota","Cyanophyceae",NA,"Chroococcales","Chroococcaceae","Aphanothece","saxicola",NA,NA
